day,ABSOperation,2020_ABSOperation,2021_ABSOperation
01,0.0,,322096.0
02,0.0,137373.0,466054.0
02,2.0,,6.0
03,0.0,140192.0,485931.0
04,0.0,126239.0,597839.0
04,2.0,,119350.0
05,0.0,129851.0,122284.0
06,0.0,342279.0,201466.0
07,0.0,344157.0,256325.0
08,0.0,393877.0,262857.0
08,2.0,,7.0
09,0.0,593929.0,338784.0
10,0.0,432244.0,329467.0
10,1.0,,31.0
10,2.0,13.0,
11,0.0,460387.0,434795.0
11,2.0,,5071.0
12,0.0,320348.0,309933.0
12,2.0,4.0,
13,0.0,355039.0,193605.0
13,2.0,13.0,
14,0.0,472341.0,1977.0
14,2.0,13.0,
15,0.0,171798.0,567631.0
15,2.0,,589.0
16,0.0,224621.0,342882.0
16,2.0,53.0,10.0
17,0.0,308093.0,430147.0
17,2.0,,7.0
18,0.0,496671.0,320597.0
19,0.0,393971.0,465989.0
19,1.0,11.0,
19,2.0,,8.0
20,0.0,111872.0,323483.0
20,2.0,,4.0
21,0.0,304081.0,357116.0
22,0.0,121637.0,452409.0
22,2.0,4.0,
23,0.0,265213.0,389493.0
23,2.0,10.0,
24,0.0,212963.0,358223.0
24,1.0,10.0,
24,2.0,2.0,
25,0.0,6858.0,319328.0
26,0.0,15004.0,537333.0
27,0.0,106588.0,512054.0
27,2.0,4.0,228.0
28,0.0,401138.0,332681.0
28,1.0,12.0,
28,2.0,4.0,4.0
29,0.0,30962.0,324893.0
30,0.0,100464.0,178602.0
30,1.0,,20.0
31,0.0,12593.0,76122.0
31,2.0,180.0,
