day,ABSWarningLamp,2020_ABSWarningLamp,2021_ABSWarningLamp
01,0.0,,322096.0
02,0.0,137373.0,466045.0
02,1.0,,15.0
03,0.0,140192.0,485931.0
04,0.0,126239.0,597684.0
04,1.0,,119505.0
05,0.0,129851.0,122284.0
06,0.0,223358.0,201466.0
06,1.0,118921.0,
07,0.0,309503.0,256300.0
07,1.0,34654.0,25.0
08,0.0,393877.0,262857.0
08,1.0,,7.0
09,0.0,593929.0,338784.0
10,0.0,432230.0,329498.0
10,1.0,27.0,
11,0.0,457000.0,434788.0
11,1.0,3387.0,5078.0
12,0.0,320348.0,309933.0
12,1.0,4.0,
13,0.0,355039.0,193599.0
13,1.0,13.0,6.0
14,0.0,470714.0,1977.0
14,1.0,1640.0,
15,0.0,153758.0,566859.0
15,1.0,18040.0,1361.0
16,0.0,217724.0,342882.0
16,1.0,6950.0,10.0
17,0.0,297547.0,430147.0
17,1.0,10546.0,7.0
18,0.0,496671.0,320597.0
19,0.0,393982.0,465989.0
19,1.0,,8.0
20,0.0,82402.0,323462.0
20,1.0,29470.0,25.0
21,0.0,300032.0,357109.0
21,1.0,4049.0,7.0
22,0.0,121637.0,452409.0
22,1.0,4.0,
23,0.0,265212.0,389493.0
23,1.0,11.0,
24,0.0,212973.0,358144.0
24,1.0,2.0,79.0
25,0.0,6858.0,319328.0
26,0.0,15004.0,537333.0
27,0.0,106588.0,512021.0
27,1.0,4.0,261.0
28,0.0,394355.0,332681.0
28,1.0,6799.0,4.0
29,0.0,26213.0,324868.0
29,1.0,4749.0,25.0
30,0.0,100458.0,178622.0
30,1.0,6.0,
31,0.0,12591.0,76122.0
31,1.0,182.0,
