day,additionalTransmissionLowSpeedSwitch,2020_additionalTransmissionLowSpeedSwitch,2021_additionalTransmissionLowSpeedSwitch
01,0.0,,319941.0
01,1.0,,1822.0
02,0.0,137373.0,446433.0
02,1.0,,19627.0
03,0.0,140192.0,485931.0
04,0.0,126239.0,646127.0
05,0.0,129851.0,122284.0
06,0.0,223952.0,201385.0
06,1.0,118327.0,10.0
07,0.0,309783.0,256325.0
07,1.0,34374.0,
08,0.0,393877.0,262860.0
09,0.0,593929.0,338784.0
10,0.0,418154.0,329498.0
10,1.0,14103.0,
11,0.0,413970.0,377567.0
11,1.0,46417.0,
12,0.0,320352.0,295382.0
12,1.0,,14550.0
12,3.0,,1.0
13,0.0,354039.0,193605.0
13,1.0,413.0,
14,0.0,472354.0,1977.0
15,0.0,148624.0,567040.0
15,1.0,23174.0,
16,0.0,219840.0,342892.0
16,1.0,4834.0,
17,0.0,308093.0,430154.0
18,0.0,466759.0,320597.0
18,1.0,29912.0,
19,0.0,295423.0,457349.0
19,1.0,98559.0,8648.0
20,0.0,111872.0,323487.0
21,0.0,304033.0,357116.0
21,1.0,48.0,
22,0.0,121641.0,452409.0
23,0.0,265124.0,389493.0
24,0.0,212975.0,358223.0
25,0.0,6858.0,319328.0
26,0.0,15004.0,511048.0
26,1.0,,26284.0
26,3.0,,1.0
27,0.0,106592.0,419052.0
27,1.0,,91300.0
28,0.0,357665.0,332501.0
28,1.0,43489.0,
29,0.0,2184.0,324546.0
29,1.0,28778.0,347.0
30,0.0,32138.0,176078.0
30,1.0,68022.0,2544.0
30,3.0,1.0,
31,0.0,12089.0,76122.0
