day,automaticTransmission,2020_automaticTransmission,2021_automaticTransmission
01,0,,320816.0
01,1,,1280.0
02,0,136561.0,464932.0
02,1,812.0,1128.0
03,0,139504.0,484858.0
03,1,688.0,1073.0
04,0,126221.0,717077.0
04,1,18.0,112.0
05,0,129245.0,122284.0
05,1,606.0,
06,0,340567.0,201464.0
06,1,1712.0,2.0
07,0,342477.0,256283.0
07,1,1680.0,42.0
08,0,392373.0,262642.0
08,1,1504.0,222.0
09,0,593891.0,338506.0
09,1,38.0,278.0
10,0,431935.0,329498.0
10,1,322.0,
11,0,460061.0,408536.0
11,1,326.0,31330.0
12,0,319585.0,309933.0
12,1,767.0,
13,0,355052.0,193605.0
14,0,472046.0,1977.0
14,1,308.0,
15,0,155634.0,567044.0
15,1,16164.0,1176.0
16,0,222850.0,342498.0
16,1,1824.0,394.0
17,0,308089.0,429800.0
17,1,4.0,354.0
18,0,496645.0,320086.0
18,1,26.0,511.0
19,0,393958.0,464143.0
19,1,24.0,1854.0
20,0,111872.0,322967.0
20,1,,520.0
21,0,302499.0,357116.0
21,1,1582.0,
22,0,121565.0,452349.0
22,1,76.0,60.0
23,0,265159.0,388717.0
23,1,64.0,776.0
24,0,212975.0,357363.0
24,1,,860.0
25,0,6858.0,319326.0
25,1,,2.0
26,0,15004.0,537333.0
27,0,106552.0,512085.0
27,1,40.0,197.0
28,0,401154.0,332685.0
29,0,30962.0,324801.0
29,1,,92.0
30,0,100629.0,178622.0
31,0,12773.0,76122.0
