day,brake,2020_brake,2021_brake
01,0.0,,264423
01,1.0,,57673
02,0.0,114773.0,381829
02,1.0,22600.0,84231
03,0.0,116243.0,435527
03,1.0,23949.0,50404
04,0.0,83856.0,675114
04,1.0,42383.0,42075
05,0.0,100530.0,110082
05,1.0,29321.0,12202
06,0.0,286697.0,194497
06,1.0,55582.0,6969
07,0.0,291743.0,247414
07,1.0,50836.0,8911
08,0.0,347202.0,195115
08,1.0,46675.0,67749
09,0.0,517502.0,303005
09,1.0,76427.0,35779
10,0.0,359375.0,290645
10,1.0,72882.0,38853
11,0.0,363916.0,402538
11,1.0,96471.0,37328
12,0.0,249370.0,294194
12,1.0,70982.0,15739
13,0.0,307532.0,184694
13,1.0,47520.0,8911
14,0.0,379582.0,1943
14,1.0,92772.0,34
15,0.0,145146.0,527569
15,1.0,26652.0,40651
16,0.0,209181.0,277635
16,1.0,15493.0,65257
17,0.0,282153.0,338427
17,1.0,25940.0,91727
18,0.0,455872.0,276602
18,1.0,40799.0,43995
19,0.0,338588.0,353556
19,1.0,55394.0,112441
20,0.0,106416.0,237294
20,1.0,5456.0,86193
21,0.0,260946.0,307914
21,1.0,43135.0,49202
22,0.0,97910.0,379252
22,1.0,23731.0,73157
23,0.0,237069.0,366005
23,1.0,28154.0,23488
24,0.0,194637.0,304469
24,1.0,18338.0,53754
25,0.0,4326.0,261445
25,1.0,2532.0,57883
26,0.0,14406.0,485380
26,1.0,598.0,51953
27,0.0,98670.0,464864
27,1.0,7922.0,47418
28,0.0,367637.0,301773
28,1.0,33517.0,30912
29,0.0,30772.0,305895
29,1.0,190.0,18998
30,0.0,98289.0,165166
30,1.0,2175.0,13456
31,0.0,11336.0,74793
31,1.0,1437.0,1329
