day,chargeState,2020_chargeState,2021_chargeState
01,0,,305782
01,1,,16314
02,0,136111.0,462264
02,1,1262.0,3796
03,0,134820.0,453563
03,1,5372.0,32368
04,0,124020.0,286586
04,1,2219.0,430603
05,0,126092.0,107994
05,1,3759.0,14290
06,0,339981.0,181876
06,1,2298.0,19590
07,0,330413.0,252226
07,1,13744.0,4099
08,0,386952.0,252075
08,1,6925.0,10789
09,0,555599.0,317044
09,1,38330.0,21740
10,0,428726.0,315042
10,1,3531.0,14456
11,0,454347.0,411650
11,1,6040.0,28216
12,0,319315.0,303495
12,1,1037.0,6438
13,0,348387.0,135484
13,1,6665.0,58121
14,0,448538.0,886
14,1,23816.0,1091
15,0,147822.0,558424
15,1,23976.0,9796
16,0,200308.0,314179
16,1,24366.0,28713
17,0,243723.0,423310
17,1,64370.0,6844
18,0,492331.0,284954
18,1,4340.0,35643
19,0,379976.0,431907
19,1,14006.0,34090
20,0,64929.0,317112
20,1,46943.0,6375
21,0,294628.0,202288
21,1,9453.0,154828
22,0,120937.0,435059
22,1,704.0,17350
23,0,259053.0,310670
23,1,6170.0,78823
24,0,205422.0,337819
24,1,7553.0,20404
25,0,6585.0,311878
25,1,273.0,7450
26,0,14540.0,527107
26,1,464.0,10226
27,0,103904.0,498052
27,1,2688.0,14230
28,0,390928.0,293319
28,1,10226.0,39366
29,0,28021.0,294990
29,1,2941.0,29903
30,0,98474.0,159111
30,1,2155.0,19511
31,0,6817.0,75001
31,1,5956.0,1121
