day,coolingFanMode,2020_coolingFanMode,2021_coolingFanMode
01,0.0,,320093.0
01,1.0,,2003.0
02,0.0,55973.0,461239.0
02,1.0,81400.0,4821.0
03,0.0,71244.0,418704.0
03,1.0,68948.0,67135.0
03,4.0,,92.0
04,0.0,126239.0,594582.0
04,1.0,,18341.0
04,4.0,,163.0
04,5.0,,104103.0
05,0.0,129851.0,122284.0
06,0.0,340968.0,158033.0
06,1.0,1310.0,43420.0
06,4.0,,13.0
07,0.0,332697.0,184042.0
07,1.0,9881.0,72283.0
07,5.0,1578.0,
08,0.0,161695.0,262857.0
08,1.0,232182.0,
08,4.0,,5.0
08,5.0,,2.0
09,0.0,389020.0,226124.0
09,1.0,204909.0,112632.0
09,4.0,,28.0
10,0.0,240544.0,230618.0
10,1.0,191688.0,98880.0
10,4.0,25.0,
11,0.0,340687.0,297140.0
11,1.0,119699.0,142677.0
11,4.0,,49.0
12,0.0,195719.0,164966.0
12,1.0,124633.0,144967.0
13,0.0,317843.0,93682.0
13,1.0,36982.0,99920.0
13,4.0,227.0,3.0
14,0.0,215685.0,1977.0
14,1.0,256648.0,
14,4.0,20.0,
15,0.0,90684.0,526197.0
15,1.0,81113.0,
15,5.0,,42023.0
16,0.0,162751.0,304529.0
16,1.0,61921.0,38300.0
16,4.0,,63.0
16,5.0,2.0,
17,0.0,225478.0,355043.0
17,1.0,82613.0,75111.0
18,0.0,357357.0,259412.0
18,1.0,139313.0,61185.0
19,0.0,385391.0,223952.0
19,1.0,8560.0,242043.0
19,4.0,30.0,2.0
20,0.0,111833.0,142852.0
20,1.0,,180635.0
20,4.0,38.0,
21,0.0,186394.0,286633.0
21,1.0,117685.0,70483.0
22,0.0,5910.0,263071.0
22,1.0,115731.0,189338.0
23,0.0,133598.0,208030.0
23,1.0,131601.0,181463.0
23,4.0,23.0,
24,0.0,194628.0,240998.0
24,1.0,18347.0,117077.0
24,4.0,,148.0
25,0.0,6858.0,134617.0
25,1.0,,184711.0
26,0.0,15003.0,276214.0
26,1.0,,261119.0
27,0.0,59884.0,450154.0
27,1.0,46708.0,62113.0
27,5.0,,15.0
28,0.0,323101.0,204106.0
28,1.0,78053.0,128579.0
29,0.0,6724.0,210989.0
29,1.0,24237.0,113904.0
30,0.0,56881.0,149330.0
30,1.0,43748.0,29292.0
31,0.0,12768.0,76122.0
31,4.0,5.0,
