day,currentTransmission,2020_currentTransmission,2021_currentTransmission
01,-1.0,,36089.0
01,0.0,,167627.0
01,2.0,,28294.0
01,3.0,,1282.0
01,4.0,,88804.0
02,-1.0,15120.0,59678.0
02,0.0,84460.0,243041.0
02,1.0,,11572.0
02,2.0,,179.0
02,3.0,45.0,2404.0
02,4.0,37748.0,149186.0
03,-1.0,21270.0,31129.0
03,0.0,63856.0,293940.0
03,1.0,1639.0,
03,2.0,,86.0
03,3.0,40.0,189.0
03,4.0,53387.0,160587.0
04,-1.0,25749.0,40429.0
04,0.0,49938.0,600393.0
04,3.0,185.0,58.0
04,4.0,50367.0,76309.0
05,-1.0,21186.0,5211.0
05,0.0,67298.0,95475.0
05,2.0,34.0,
05,3.0,229.0,25.0
05,4.0,41104.0,21573.0
06,-1.0,41812.0,2591.0
06,0.0,223434.0,121373.0
06,1.0,5681.0,
06,2.0,24.0,
06,3.0,1113.0,10.0
06,4.0,70215.0,77492.0
07,-1.0,28276.0,6513.0
07,0.0,184209.0,183693.0
07,1.0,15791.0,
07,2.0,177.0,
07,3.0,266.0,
07,4.0,115438.0,66119.0
08,-1.0,36230.0,62158.0
08,0.0,172124.0,118012.0
08,1.0,8185.0,
08,2.0,11.0,50.0
08,3.0,196.0,2130.0
08,4.0,177131.0,80514.0
09,-1.0,78276.0,24315.0
09,0.0,264096.0,181095.0
09,1.0,7128.0,
09,2.0,534.0,
09,3.0,1637.0,574.0
09,4.0,242258.0,132800.0
10,-1.0,42763.0,25131.0
10,0.0,189082.0,197083.0
10,1.0,16076.0,693.0
10,2.0,540.0,1576.0
10,3.0,9425.0,1297.0
10,4.0,174371.0,103718.0
11,-1.0,51271.0,4157.0
11,0.0,239638.0,243267.0
11,1.0,29366.0,37410.0
11,2.0,128.0,18.0
11,3.0,370.0,6631.0
11,4.0,139614.0,148383.0
12,-1.0,54429.0,2992.0
12,0.0,149020.0,274370.0
12,1.0,,6290.0
12,2.0,120.0,8.0
12,3.0,974.0,54.0
12,4.0,115809.0,26219.0
13,-1.0,32511.0,9566.0
13,0.0,177120.0,175280.0
13,1.0,52.0,
13,3.0,2389.0,
13,4.0,142980.0,8759.0
14,-1.0,68056.0,
14,0.0,205295.0,1977.0
14,1.0,3.0,
14,2.0,38.0,
14,3.0,3821.0,
14,4.0,195141.0,
15,-1.0,16700.0,35136.0
15,0.0,100178.0,359423.0
15,1.0,,35351.0
15,2.0,,95.0
15,3.0,3856.0,673.0
15,4.0,42798.0,137542.0
16,-1.0,8075.0,83661.0
16,0.0,107126.0,129639.0
16,2.0,,5.0
16,3.0,,243.0
16,4.0,109473.0,129344.0
17,-1.0,5488.0,60473.0
17,0.0,212033.0,232849.0
17,1.0,,106.0
17,2.0,,83.0
17,3.0,3.0,296.0
17,4.0,90569.0,136347.0
18,-1.0,10290.0,28989.0
18,0.0,327765.0,154770.0
18,1.0,14369.0,32776.0
18,2.0,150.0,60.0
18,3.0,304.0,153.0
18,4.0,143793.0,103849.0
19,-1.0,6262.0,88466.0
19,0.0,224588.0,211867.0
19,1.0,35119.0,5180.0
19,2.0,226.0,18.0
19,3.0,326.0,194.0
19,4.0,127461.0,160272.0
20,-1.0,2933.0,65439.0
20,0.0,93646.0,128405.0
20,1.0,,3.0
20,2.0,,13.0
20,3.0,,544.0
20,4.0,15293.0,129083.0
21,-1.0,31593.0,29581.0
21,0.0,176381.0,228863.0
21,1.0,2692.0,
21,2.0,401.0,53.0
21,3.0,961.0,261.0
21,4.0,92053.0,98358.0
22,-1.0,23354.0,51970.0
22,0.0,47498.0,226063.0
22,1.0,123.0,
22,2.0,10.0,79.0
22,3.0,1977.0,2529.0
22,4.0,48679.0,171768.0
23,-1.0,24985.0,27044.0
23,0.0,182515.0,254843.0
23,3.0,841.0,11.0
23,4.0,56882.0,107595.0
24,-1.0,6051.0,44368.0
24,0.0,114560.0,212558.0
24,1.0,266.0,3.0
24,2.0,2.0,1.0
24,3.0,33.0,657.0
24,4.0,92063.0,100636.0
25,-1.0,1995.0,42295.0
25,0.0,1066.0,127104.0
25,3.0,,401.0
25,4.0,3797.0,149528.0
26,-1.0,530.0,6363.0
26,0.0,12733.0,276944.0
26,1.0,,16117.0
26,2.0,,92.0
26,3.0,22.0,1148.0
26,4.0,1719.0,236669.0
27,-1.0,4514.0,24875.0
27,0.0,45559.0,343186.0
27,1.0,,2367.0
27,2.0,,37.0
27,3.0,4.0,671.0
27,4.0,56515.0,141146.0
28,-1.0,4134.0,3308.0
28,0.0,337351.0,134269.0
28,1.0,34293.0,74061.0
28,2.0,136.0,25476.0
28,3.0,191.0,148.0
28,4.0,25049.0,95423.0
29,-1.0,,19318.0
29,0.0,30920.0,247309.0
29,1.0,,7582.0
29,2.0,,6254.0
29,3.0,,31.0
29,4.0,42.0,44399.0
30,-1.0,477.0,3317.0
30,0.0,94953.0,141762.0
30,4.0,5034.0,33543.0
31,-1.0,1100.0,
31,0.0,9177.0,72649.0
31,3.0,,13.0
31,4.0,2496.0,3460.0
