day,demandTransmission,2020_demandTransmission,2021_demandTransmission
01,-1.0,,36964.0
01,0.0,,166324.0
01,2.0,,28312.0
01,3.0,,1329.0
01,4.0,,89167.0
02,-1.0,15882.0,60729.0
02,0.0,83628.0,241863.0
02,1.0,,11574.0
02,2.0,,182.0
02,3.0,45.0,2407.0
02,4.0,37818.0,149305.0
03,-1.0,21810.0,32088.0
03,0.0,63150.0,292853.0
03,1.0,1697.0,
03,2.0,7.0,86.0
03,3.0,42.0,203.0
03,4.0,53486.0,160701.0
04,-1.0,25756.0,40429.0
04,0.0,49920.0,600280.0
04,3.0,194.0,69.0
04,4.0,50369.0,76411.0
05,-1.0,21812.0,5211.0
05,0.0,66672.0,95475.0
05,2.0,34.0,
05,3.0,229.0,25.0
05,4.0,41104.0,21573.0
06,-1.0,43330.0,2594.0
06,0.0,221660.0,121370.0
06,1.0,5681.0,
06,2.0,24.0,
06,3.0,1118.0,10.0
06,4.0,70466.0,77492.0
07,-1.0,28831.0,6516.0
07,0.0,183375.0,183653.0
07,1.0,15997.0,
07,2.0,184.0,
07,3.0,276.0,
07,4.0,115494.0,66156.0
08,-1.0,37637.0,62218.0
08,0.0,170611.0,117792.0
08,1.0,8186.0,
08,2.0,11.0,50.0
08,3.0,273.0,2130.0
08,4.0,177159.0,80674.0
09,-1.0,78292.0,24593.0
09,0.0,264061.0,180815.0
09,1.0,7128.0,
09,2.0,534.0,
09,3.0,1646.0,576.0
09,4.0,242268.0,132800.0
10,-1.0,42984.0,25132.0
10,0.0,188749.0,197081.0
10,1.0,16091.0,693.0
10,2.0,543.0,1576.0
10,3.0,9430.0,1298.0
10,4.0,174460.0,103718.0
11,-1.0,51564.0,4157.0
11,0.0,239297.0,242606.0
11,1.0,29369.0,37410.0
11,2.0,131.0,18.0
11,3.0,376.0,6751.0
11,4.0,139650.0,148924.0
12,-1.0,55099.0,2992.0
12,0.0,148252.0,274369.0
12,1.0,,6290.0
12,2.0,120.0,8.0
12,3.0,976.0,55.0
12,4.0,115905.0,26219.0
13,-1.0,32515.0,9566.0
13,0.0,177112.0,175280.0
13,1.0,52.0,
13,3.0,2393.0,
13,4.0,142980.0,8759.0
14,-1.0,68250.0,
14,0.0,204979.0,1977.0
14,1.0,3.0,
14,2.0,38.0,
14,3.0,3838.0,
14,4.0,195246.0,
15,-1.0,16756.0,35463.0
15,0.0,99754.0,359058.0
15,1.0,,35351.0
15,2.0,4.0,95.0
15,3.0,3859.0,674.0
15,4.0,43159.0,137579.0
16,-1.0,8075.0,84058.0
16,0.0,107087.0,129242.0
16,2.0,,5.0
16,3.0,7.0,243.0
16,4.0,109505.0,129344.0
17,-1.0,5491.0,60746.0
17,0.0,212030.0,232474.0
17,1.0,,106.0
17,2.0,,88.0
17,3.0,3.0,299.0
17,4.0,90569.0,136441.0
18,-1.0,10290.0,29510.0
18,0.0,327733.0,154248.0
18,1.0,14371.0,32776.0
18,2.0,151.0,60.0
18,3.0,306.0,154.0
18,4.0,143820.0,103849.0
19,-1.0,6267.0,90259.0
19,0.0,224564.0,209959.0
19,1.0,35136.0,5180.0
19,2.0,226.0,18.0
19,3.0,328.0,206.0
19,4.0,127461.0,160375.0
20,-1.0,2933.0,65719.0
20,0.0,93646.0,127884.0
20,1.0,,3.0
20,2.0,,13.0
20,3.0,,546.0
20,4.0,15293.0,129322.0
21,-1.0,33051.0,29581.0
21,0.0,174761.0,228863.0
21,1.0,2692.0,
21,2.0,401.0,53.0
21,3.0,974.0,261.0
21,4.0,92202.0,98358.0
22,-1.0,23430.0,52027.0
22,0.0,47419.0,225997.0
22,1.0,123.0,
22,2.0,10.0,79.0
22,3.0,1980.0,2532.0
22,4.0,48679.0,171774.0
23,-1.0,25052.0,27846.0
23,0.0,182448.0,254041.0
23,3.0,841.0,11.0
23,4.0,56882.0,107595.0
24,-1.0,6051.0,45239.0
24,0.0,114560.0,211687.0
24,1.0,266.0,3.0
24,2.0,2.0,1.0
24,3.0,33.0,657.0
24,4.0,92063.0,100636.0
25,-1.0,1995.0,42296.0
25,0.0,1066.0,127103.0
25,3.0,,401.0
25,4.0,3797.0,149528.0
26,-1.0,530.0,6363.0
26,0.0,12733.0,276944.0
26,1.0,,16117.0
26,2.0,,92.0
26,3.0,22.0,1148.0
26,4.0,1719.0,236669.0
27,-1.0,4552.0,24877.0
27,0.0,45521.0,343184.0
27,1.0,,2367.0
27,2.0,,37.0
27,3.0,4.0,671.0
27,4.0,56515.0,141146.0
28,-1.0,4134.0,3308.0
28,0.0,337347.0,134267.0
28,1.0,34293.0,74061.0
28,2.0,137.0,25477.0
28,3.0,194.0,149.0
28,4.0,25049.0,95423.0
29,-1.0,,19411.0
29,0.0,30920.0,247216.0
29,1.0,,7582.0
29,2.0,,6254.0
29,3.0,,31.0
29,4.0,42.0,44399.0
30,-1.0,477.0,3317.0
30,0.0,94953.0,141762.0
30,4.0,5034.0,33543.0
31,-1.0,1100.0,
31,0.0,9177.0,72649.0
31,3.0,,13.0
31,4.0,2496.0,3460.0
