day,detailedTransmission,2020_detailedTransmission,2021_detailedTransmission
01,-1.0,,36089.0
01,0.0,,167627.0
01,1.0,,30808.0
01,2.0,,81581.0
01,3.0,,5724.0
01,4.0,,267.0
02,-1.0,15120.0,59678.0
02,0.0,84460.0,243041.0
02,1.0,3979.0,27826.0
02,2.0,32647.0,126817.0
02,3.0,1096.0,8297.0
02,4.0,71.0,351.0
02,5.0,,50.0
03,-1.0,21270.0,31129.0
03,0.0,63856.0,293940.0
03,1.0,7045.0,5757.0
03,2.0,44960.0,109164.0
03,3.0,3061.0,42995.0
03,4.0,,2923.0
03,5.0,,23.0
04,-2.0,,15.0
04,-1.0,25749.0,40414.0
04,0.0,49938.0,600393.0
04,1.0,5332.0,9292.0
04,2.0,45220.0,62780.0
04,3.0,,3486.0
04,4.0,,737.0
04,5.0,,72.0
05,-1.0,21186.0,5211.0
05,0.0,67298.0,95475.0
05,1.0,4836.0,2190.0
05,2.0,36364.0,19123.0
05,3.0,167.0,285.0
06,-1.0,41812.0,2591.0
06,0.0,223434.0,121373.0
06,1.0,14009.0,563.0
06,2.0,60683.0,31927.0
06,3.0,2172.0,41061.0
06,4.0,169.0,3917.0
06,5.0,,34.0
07,-1.0,28276.0,6513.0
07,0.0,184209.0,183693.0
07,1.0,23304.0,609.0
07,2.0,101365.0,47892.0
07,3.0,6860.0,16611.0
07,4.0,143.0,1007.0
08,-1.0,36230.0,62158.0
08,0.0,172124.0,118012.0
08,1.0,12108.0,9277.0
08,2.0,169258.0,70126.0
08,3.0,4118.0,2390.0
08,4.0,39.0,887.0
08,5.0,,14.0
09,-1.0,78276.0,24315.0
09,0.0,264096.0,181095.0
09,1.0,16987.0,4274.0
09,2.0,212394.0,124610.0
09,3.0,21859.0,4490.0
09,4.0,317.0,
10,-1.0,42763.0,25131.0
10,0.0,189082.0,197083.0
10,1.0,30631.0,6296.0
10,2.0,143949.0,69394.0
10,3.0,25456.0,27191.0
10,4.0,376.0,4134.0
10,5.0,,269.0
11,-1.0,51271.0,4157.0
11,0.0,239638.0,243267.0
11,1.0,45910.0,40827.0
11,2.0,117057.0,121283.0
11,3.0,5089.0,29546.0
11,4.0,1278.0,786.0
11,5.0,144.0,
12,-1.0,54429.0,2992.0
12,0.0,149020.0,274370.0
12,1.0,13709.0,7212.0
12,2.0,97795.0,21023.0
12,3.0,5308.0,3062.0
12,4.0,91.0,1055.0
12,5.0,,219.0
13,-1.0,32511.0,9566.0
13,0.0,177120.0,175280.0
13,1.0,8368.0,373.0
13,2.0,125974.0,6168.0
13,3.0,10384.0,2006.0
13,4.0,695.0,212.0
