day,engineOilPressureState,2020_engineOilPressureState,2021_engineOilPressureState
01,0,,301265
01,1,,20831
02,0,1294.0,314933
02,1,136079.0,151127
03,0,6096.0,122221
03,1,134096.0,363710
04,0,2275.0,435878
04,1,123964.0,281311
05,0,3838.0,16485
05,1,126013.0,105799
06,0,2447.0,148426
06,1,339832.0,53040
07,0,15463.0,92398
07,1,328694.0,163927
08,0,7124.0,147119
08,1,386753.0,115745
09,0,38613.0,106730
09,1,555316.0,232054
10,0,3726.0,138740
10,1,428531.0,190758
11,0,6257.0,158359
11,1,454130.0,281507
12,0,1167.0,67054
12,1,319185.0,242879
13,0,6920.0,118846
13,1,348132.0,74759
14,0,24002.0,1367
14,1,448352.0,610
15,0,24211.0,182763
15,1,147587.0,385457
16,0,24633.0,168924
16,1,200041.0,173968
17,0,64571.0,167321
17,1,243522.0,262833
18,0,4682.0,129551
18,1,491989.0,191046
19,0,14271.0,115238
19,1,379711.0,350759
20,0,47754.0,6672
20,1,64118.0,316815
21,0,9830.0,169438
21,1,294251.0,187678
22,0,816.0,185328
22,1,120825.0,267081
23,0,6324.0,173012
23,1,258899.0,216481
24,0,7709.0,162897
24,1,205266.0,195326
25,0,302.0,150103
25,1,6556.0,169225
26,0,498.0,229700
26,1,14506.0,307633
27,0,2780.0,273044
27,1,103812.0,239238
28,0,9392.0,87445
28,1,391762.0,245240
29,0,2986.0,68314
29,1,27976.0,256579
30,0,2207.0,22256
30,1,98422.0,156366
31,0,6086.0,2596
31,1,6687.0,73526
