day,engineOverrideControlMode,2020_engineOverrideControlMode,2021_engineOverrideControlMode
01,0.0,,167493.0
01,3.0,,154603.0
02,0.0,84400.0,242764.0
02,3.0,52973.0,223296.0
03,0.0,63811.0,293867.0
03,3.0,76381.0,192064.0
04,0.0,49835.0,600324.0
04,3.0,76404.0,116865.0
05,0.0,67208.0,95457.0
05,3.0,62643.0,26827.0
06,0.0,223284.0,121328.0
06,3.0,118995.0,80138.0
07,0.0,182507.0,183635.0
07,3.0,161650.0,72690.0
08,0.0,171996.0,117866.0
08,3.0,221881.0,144998.0
09,0.0,263926.0,181040.0
09,3.0,330003.0,157744.0
10,0.0,188904.0,196997.0
10,3.0,243353.0,132501.0
11,0.0,239390.0,243257.0
11,3.0,220997.0,196609.0
12,0.0,148757.0,274359.0
12,3.0,171595.0,35574.0
13,0.0,177002.0,175219.0
13,3.0,178050.0,18386.0
14,0.0,205029.0,1977.0
14,3.0,267325.0,
15,0.0,86292.0,359329.0
15,3.0,77241.0,208891.0
16,0.0,104696.0,129433.0
16,3.0,119978.0,213459.0
17,0.0,212014.0,232653.0
17,3.0,96079.0,197501.0
18,0.0,327680.0,154658.0
18,3.0,168991.0,165939.0
19,0.0,224559.0,211660.0
19,3.0,169423.0,254337.0
20,0.0,93641.0,128139.0
20,3.0,18231.0,195348.0
21,0.0,176265.0,228769.0
21,3.0,127816.0,128347.0
22,0.0,47438.0,225874.0
22,3.0,74203.0,226535.0
23,0.0,182427.0,254793.0
23,3.0,82796.0,134700.0
24,0.0,114548.0,212283.0
24,3.0,98427.0,145940.0
25,0.0,1063.0,126974.0
25,3.0,5795.0,192354.0
26,0.0,12733.0,276920.0
26,3.0,2271.0,260413.0
27,0.0,45546.0,343092.0
27,3.0,61046.0,169190.0
28,0.0,337292.0,134248.0
28,3.0,63862.0,198437.0
29,0.0,30898.0,247240.0
29,3.0,64.0,77653.0
30,0.0,94927.0,141746.0
30,3.0,5537.0,36876.0
31,0.0,9177.0,72632.0
31,3.0,3596.0,3490.0
