day,engineState,2020_engineState,2021_engineState
01,0.0,,15497
01,1.0,,355
01,2.0,,305535
01,3.0,,530
01,4.0,,179
02,0.0,1125.0,3210
02,1.0,103.0,191
02,2.0,136079.0,462144
02,3.0,66.0,314
02,4.0,,201
03,0.0,4834.0,31116
03,1.0,397.0,692
03,2.0,134614.0,453068
03,3.0,324.0,857
03,4.0,23.0,198
04,0.0,1568.0,429992
04,1.0,559.0,407
04,2.0,123966.0,286111
04,3.0,124.0,520
04,4.0,22.0,159
05,0.0,3266.0,13212
05,1.0,258.0,509
05,2.0,126012.0,107791
05,3.0,228.0,494
05,4.0,87.0,278
06,0.0,2104.0,18629
06,1.0,139.0,351
06,2.0,339835.0,181556
06,3.0,196.0,592
06,4.0,5.0,338
07,0.0,13299.0,3654
07,1.0,241.0,198
07,2.0,328697.0,252073
07,3.0,249.0,279
07,4.0,93.0,121
08,0.0,6516.0,10151
08,1.0,160.0,340
08,2.0,386752.0,251841
08,3.0,362.0,459
08,4.0,87.0,73
09,0.0,37367.0,20979
09,1.0,488.0,445
09,2.0,555311.0,316764
09,3.0,610.0,523
09,4.0,153.0,73
10,0.0,2749.0,13927
10,1.0,462.0,291
10,2.0,428530.0,314828
10,3.0,375.0,393
10,4.0,141.0,59
11,0.0,5121.0,27600
11,1.0,493.0,294
11,2.0,454135.0,411485
11,3.0,490.0,377
11,4.0,148.0,110
12,0.0,734.0,5786
12,1.0,155.0,364
12,2.0,319186.0,303308
12,3.0,221.0,376
12,4.0,56.0,99
13,0.0,6211.0,57436
13,1.0,271.0,339
13,2.0,348134.0,135207
13,3.0,399.0,467
13,4.0,37.0,156
14,0.0,23372.0,985
14,1.0,250.0,55
14,2.0,448350.0,815
14,3.0,317.0,85
14,4.0,65.0,37
15,0.0,23208.0,9188
15,1.0,561.0,317
15,2.0,147593.0,558193
15,3.0,354.0,395
15,4.0,82.0,127
16,0.0,23422.0,27994
16,1.0,753.0,238
16,2.0,200035.0,313974
16,3.0,442.0,504
16,4.0,22.0,182
17,0.0,63375.0,6002
17,1.0,742.0,392
17,2.0,243526.0,423045
17,3.0,370.0,591
17,4.0,80.0,124
18,0.0,3714.0,35047
18,1.0,345.0,368
18,2.0,491987.0,284690
18,3.0,524.0,421
18,4.0,101.0,71
19,0.0,13318.0,33116
19,1.0,360.0,373
19,2.0,379718.0,431638
19,3.0,456.0,650
19,4.0,130.0,220
20,0.0,46013.0,5671
20,1.0,713.0,362
20,2.0,64611.0,316821
20,3.0,498.0,502
20,4.0,37.0,131
21,0.0,8333.0,154196
21,1.0,690.0,295
21,2.0,294251.0,202016
21,3.0,636.0,484
21,4.0,171.0,125
22,0.0,531.0,15956
22,1.0,104.0,683
22,2.0,120827.0,434677
22,3.0,166.0,836
22,4.0,13.0,257
23,0.0,5757.0,78574
23,1.0,336.0,131
23,2.0,258901.0,310463
23,3.0,222.0,242
23,4.0,7.0,83
24,0.0,6680.0,18704
24,1.0,669.0,1178
24,2.0,205269.0,337608
24,3.0,319.0,566
24,4.0,38.0,167
25,0.0,179.0,6964
25,1.0,56.0,200
25,2.0,6554.0,311742
25,3.0,69.0,314
25,4.0,,108
26,0.0,273.0,9450
26,1.0,164.0,393
26,2.0,14508.0,526878
26,3.0,52.0,496
26,4.0,7.0,116
27,0.0,2261.0,13506
27,1.0,312.0,405
27,2.0,103814.0,497902
27,3.0,157.0,383
27,4.0,48.0,86
28,0.0,8925.0,38629
28,1.0,253.0,407
28,2.0,391762.0,293121
28,3.0,196.0,433
28,4.0,18.0,95
29,0.0,2833.0,28873
29,1.0,67.0,563
29,2.0,27976.0,294657
29,3.0,80.0,714
29,4.0,6.0,86
30,0.0,1865.0,18813
30,1.0,96.0,244
30,2.0,98422.0,158917
30,3.0,81.0,471
30,4.0,,177
31,0.0,5636.0,926
31,1.0,211.0,140
31,2.0,6690.0,74903
31,3.0,195.0,148
31,4.0,41.0,5
