day,engineWarning,2020_engineWarning,2021_engineWarning
01,0.0,,321577
01,1.0,,519
02,0.0,137373.0,465764
02,1.0,,296
03,0.0,140060.0,485436
03,1.0,132.0,495
04,0.0,126155.0,693843
04,1.0,84.0,23346
05,0.0,129691.0,121781
05,1.0,160.0,503
06,0.0,342238.0,200973
06,1.0,41.0,493
07,0.0,342441.0,256209
07,1.0,138.0,116
08,0.0,393662.0,262599
08,1.0,215.0,265
09,0.0,593539.0,338520
09,1.0,390.0,264
10,0.0,432075.0,329270
10,1.0,182.0,228
11,0.0,460135.0,437990
11,1.0,252.0,1876
12,0.0,320248.0,309707
12,1.0,104.0,226
13,0.0,354882.0,193308
13,1.0,170.0,297
14,0.0,472173.0,1920
14,1.0,181.0,57
15,0.0,163494.0,550970
15,1.0,8304.0,17250
16,0.0,224505.0,342415
16,1.0,169.0,477
17,0.0,307820.0,429814
17,1.0,273.0,340
18,0.0,496422.0,320452
18,1.0,249.0,145
19,0.0,393673.0,465396
19,1.0,309.0,601
20,0.0,111716.0,321619
20,1.0,156.0,1868
21,0.0,303801.0,356750
21,1.0,280.0,366
22,0.0,121566.0,451948
22,1.0,75.0,461
23,0.0,265192.0,389278
23,1.0,31.0,215
24,0.0,212860.0,357880
24,1.0,115.0,343
25,0.0,6837.0,319108
25,1.0,21.0,220
26,0.0,14985.0,536998
26,1.0,19.0,335
27,0.0,106506.0,512058
27,1.0,86.0,224
28,0.0,401043.0,332419
28,1.0,111.0,266
29,0.0,30923.0,324555
29,1.0,39.0,338
30,0.0,100464.0,178178
30,1.0,,444
31,0.0,12656.0,76108
31,1.0,117.0,14
