day,fourAxisWheelPower,2020_fourAxisWheelPower,2021_fourAxisWheelPower
01,0.0,,4057.0
01,1.0,,317701.0
01,3.0,,5.0
02,0.0,,24533.0
02,1.0,137371.0,441517.0
02,3.0,2.0,10.0
03,0.0,82.0,1020.0
03,1.0,140103.0,484902.0
03,3.0,7.0,9.0
04,0.0,557.0,352883.0
04,1.0,125679.0,293238.0
04,3.0,3.0,6.0
05,0.0,89.0,435.0
05,1.0,129759.0,121847.0
05,3.0,3.0,2.0
06,0.0,118961.0,243.0
06,1.0,223313.0,201149.0
06,3.0,5.0,3.0
07,0.0,34785.0,90.0
07,1.0,309364.0,256228.0
07,3.0,8.0,7.0
08,0.0,,1145.0
08,1.0,393864.0,261710.0
08,3.0,13.0,5.0
09,0.0,80.0,80166.0
09,1.0,593837.0,258611.0
09,3.0,12.0,7.0
10,0.0,14218.0,54219.0
10,1.0,418023.0,275269.0
10,3.0,16.0,10.0
11,0.0,53719.0,358.0
11,1.0,406659.0,377203.0
11,3.0,9.0,6.0
12,0.0,33.0,14833.0
12,1.0,320315.0,295095.0
12,3.0,4.0,5.0
13,0.0,486.0,5015.0
13,1.0,353965.0,188589.0
13,3.0,1.0,1.0
14,0.0,,30.0
14,1.0,472350.0,1947.0
14,3.0,4.0,
15,0.0,36985.0,1260.0
15,1.0,134808.0,565768.0
15,3.0,5.0,12.0
16,0.0,10166.0,150.0
16,1.0,214506.0,342731.0
16,3.0,2.0,11.0
17,0.0,60.0,4850.0
17,1.0,308026.0,425287.0
17,3.0,7.0,17.0
18,0.0,33327.0,162.0
18,1.0,463334.0,320424.0
18,3.0,10.0,11.0
19,0.0,101726.0,9927.0
19,1.0,292252.0,456059.0
19,3.0,4.0,11.0
20,0.0,32249.0,141.0
20,1.0,79622.0,323337.0
20,3.0,1.0,9.0
21,0.0,4059.0,72546.0
21,1.0,300013.0,284563.0
21,3.0,9.0,7.0
22,0.0,,361.0
22,1.0,121636.0,452037.0
22,3.0,5.0,11.0
23,0.0,147.0,41258.0
23,1.0,264970.0,348227.0
23,3.0,7.0,8.0
24,0.0,4041.0,311.0
24,1.0,208930.0,357900.0
24,3.0,4.0,12.0
25,0.0,,120.0
25,1.0,6858.0,319195.0
25,3.0,,13.0
26,0.0,,31250.0
26,1.0,15004.0,506068.0
26,3.0,,15.0
27,0.0,362.0,95261.0
27,1.0,106226.0,415083.0
27,3.0,4.0,8.0
28,0.0,43704.0,210.0
28,1.0,357443.0,332282.0
28,3.0,7.0,9.0
29,0.0,30962.0,1157.0
29,1.0,,323729.0
29,3.0,,7.0
30,0.0,68023.0,2694.0
30,1.0,32138.0,175924.0
30,3.0,,4.0
31,0.0,19.0,40.0
31,1.0,12070.0,76080.0
31,3.0,,2.0
