day,frontAirTank,2020_frontAirTank,2021_frontAirTank
01,0,,319948.0
01,1,,2148.0
02,0,137132.0,465785.0
02,1,241.0,275.0
03,0,139866.0,485289.0
03,1,326.0,642.0
04,0,125608.0,292970.0
04,1,631.0,424219.0
05,0,129851.0,122006.0
05,1,,278.0
06,0,341685.0,201286.0
06,1,594.0,180.0
07,0,342502.0,256068.0
07,1,1655.0,257.0
08,0,393877.0,261490.0
08,1,,1374.0
09,0,593694.0,338480.0
09,1,235.0,304.0
10,0,432257.0,329498.0
11,0,460387.0,434673.0
11,1,,5193.0
12,0,320352.0,309933.0
13,0,354642.0,166237.0
13,1,410.0,27368.0
14,0,472354.0,1133.0
14,1,,844.0
15,0,160918.0,563658.0
15,1,10880.0,4562.0
16,0,222848.0,342892.0
16,1,1826.0,
17,0,307506.0,429282.0
17,1,587.0,872.0
18,0,496671.0,319154.0
18,1,,1443.0
19,0,391382.0,465697.0
19,1,2600.0,300.0
20,0,99657.0,323487.0
20,1,12215.0,
21,0,303443.0,258609.0
21,1,638.0,98507.0
22,0,121370.0,452243.0
22,1,271.0,166.0
23,0,264988.0,322897.0
23,1,235.0,66596.0
24,0,208970.0,358140.0
24,1,4005.0,83.0
25,0,6559.0,318648.0
25,1,299.0,680.0
26,0,14497.0,536933.0
26,1,507.0,400.0
27,0,106010.0,505354.0
27,1,582.0,6928.0
28,0,393238.0,302474.0
28,1,7916.0,30211.0
29,0,30962.0,324556.0
29,1,,337.0
30,0,100344.0,173773.0
30,1,285.0,4849.0
31,0,12254.0,75766.0
31,1,519.0,356.0
