day,leftInfantryRoomAirTank,2020_leftInfantryRoomAirTank,2021_leftInfantryRoomAirTank
01,0,,319914.0
01,1,,2182.0
02,0,137070.0,465603.0
02,1,303.0,457.0
03,0,139788.0,485147.0
03,1,404.0,784.0
04,0,125466.0,292892.0
04,1,773.0,424297.0
05,0,129851.0,121846.0
05,1,,438.0
06,0,341685.0,201267.0
06,1,594.0,199.0
07,0,342454.0,256020.0
07,1,1703.0,305.0
08,0,393877.0,261170.0
08,1,,1694.0
09,0,593658.0,337010.0
09,1,271.0,1774.0
10,0,432257.0,329498.0
11,0,460178.0,434613.0
11,1,209.0,5253.0
12,0,320352.0,309933.0
13,0,354450.0,163499.0
13,1,602.0,30106.0
14,0,472354.0,1107.0
14,1,,870.0
15,0,160668.0,563384.0
15,1,11130.0,4836.0
16,0,222526.0,342892.0
16,1,2148.0,
17,0,306785.0,429018.0
17,1,1308.0,1136.0
18,0,496671.0,319080.0
18,1,,1517.0
19,0,391160.0,465365.0
19,1,2822.0,632.0
20,0,97362.0,323487.0
20,1,14510.0,
21,0,300032.0,254007.0
21,1,4049.0,103109.0
22,0,121338.0,452191.0
22,1,303.0,218.0
23,0,264988.0,319842.0
23,1,235.0,69651.0
24,0,208716.0,358140.0
24,1,4259.0,83.0
25,0,6503.0,318582.0
25,1,355.0,746.0
26,0,14395.0,536871.0
26,1,609.0,462.0
27,0,105788.0,504267.0
27,1,804.0,8015.0
28,0,393193.0,296993.0
28,1,7961.0,35692.0
29,0,30962.0,324316.0
29,1,,577.0
30,0,100344.0,173529.0
30,1,285.0,5093.0
31,0,11782.0,75584.0
31,1,991.0,538.0
