day,mediumTransmissionMode,2020_mediumTransmissionMode,2021_mediumTransmissionMode
01,1.0,,1827.0
01,2.0,,319936.0
02,1.0,,19429.0
02,2.0,137373.0,446406.0
02,3.0,,225.0
03,2.0,140178.0,485930.0
04,2.0,126239.0,646121.0
05,2.0,129851.0,122284.0
06,1.0,118325.0,15.0
06,2.0,223351.0,201379.0
06,3.0,592.0,
07,1.0,34275.0,
07,2.0,308205.0,256323.0
07,3.0,1653.0,
08,2.0,393862.0,262856.0
09,2.0,593914.0,338782.0
10,1.0,13507.0,
10,2.0,418179.0,329498.0
10,3.0,566.0,
11,1.0,44135.0,
11,2.0,413525.0,377565.0
11,3.0,2235.0,
12,1.0,,14190.0
12,2.0,320349.0,295378.0
12,3.0,,360.0
13,1.0,419.0,
13,2.0,354013.0,193605.0
14,2.0,472337.0,1970.0
15,1.0,23254.0,
15,2.0,123822.0,567040.0
15,3.0,9948.0,
16,1.0,4867.0,
16,2.0,219677.0,342891.0
16,3.0,125.0,
17,2.0,308082.0,430151.0
18,1.0,29717.0,
18,2.0,466691.0,320597.0
18,3.0,240.0,
19,1.0,98306.0,8654.0
19,2.0,295439.0,457268.0
19,3.0,220.0,75.0
20,2.0,111856.0,323484.0
21,1.0,50.0,
21,2.0,304010.0,357115.0
22,2.0,121641.0,452409.0
23,2.0,265124.0,389493.0
24,2.0,212971.0,358223.0
25,2.0,6858.0,319328.0
26,1.0,,26297.0
26,2.0,15003.0,511036.0
27,1.0,,91305.0
27,2.0,106589.0,419047.0
28,1.0,42583.0,
28,2.0,357736.0,332496.0
28,3.0,831.0,
29,1.0,28779.0,351.0
29,2.0,2177.0,324541.0
30,1.0,68026.0,1957.0
30,2.0,32134.0,176071.0
30,3.0,,594.0
31,2.0,12089.0,76121.0
