day,parkingStatus,2020_parkingStatus,2021_parkingStatus
01,0.0,,61663.0
01,1.0,,260433.0
02,0.0,63568.0,103974.0
02,1.0,73805.0,362086.0
03,0.0,81093.0,204064.0
03,1.0,59099.0,281867.0
04,0.0,91824.0,126470.0
04,1.0,34415.0,590719.0
05,0.0,75503.0,30010.0
05,1.0,54348.0,92274.0
06,0.0,62173.0,781.0
06,1.0,280106.0,200685.0
07,0.0,89969.0,15898.0
07,1.0,252610.0,240427.0
08,0.0,180920.0,150579.0
08,1.0,212957.0,112285.0
09,0.0,252805.0,163101.0
09,1.0,341124.0,175683.0
10,0.0,206228.0,143230.0
10,1.0,226029.0,186268.0
11,0.0,256097.0,204916.0
11,1.0,204290.0,234950.0
12,0.0,186328.0,37014.0
12,1.0,134024.0,272919.0
13,0.0,118431.0,23183.0
13,1.0,236621.0,170422.0
14,0.0,236922.0,
14,1.0,235432.0,1977.0
15,0.0,100740.0,215592.0
15,1.0,71058.0,352628.0
16,0.0,110476.0,133831.0
16,1.0,114198.0,209061.0
17,0.0,98253.0,105311.0
17,1.0,209840.0,324843.0
18,0.0,182526.0,98629.0
18,1.0,314145.0,221968.0
19,0.0,186842.0,236875.0
19,1.0,207140.0,229122.0
20,0.0,18731.0,206810.0
20,1.0,93141.0,116677.0
21,0.0,130575.0,137584.0
21,1.0,173506.0,219532.0
22,0.0,77536.0,228564.0
22,1.0,44105.0,223845.0
23,0.0,78234.0,105302.0
23,1.0,186989.0,284191.0
24,0.0,100740.0,106448.0
24,1.0,112235.0,251775.0
25,0.0,4234.0,214239.0
25,1.0,2624.0,105089.0
26,0.0,2650.0,272453.0
26,1.0,12354.0,264880.0
27,0.0,62353.0,116601.0
27,1.0,44239.0,395681.0
28,0.0,66883.0,241504.0
28,1.0,334271.0,91181.0
29,0.0,67.0,81736.0
29,1.0,30895.0,243157.0
30,0.0,5625.0,42098.0
30,1.0,94839.0,136524.0
31,0.0,3778.0,4010.0
31,1.0,8995.0,72112.0
