day,positivePressureDevice,2020_positivePressureDevice,2021_positivePressureDevice
01,0.0,,321833.0
01,1.0,,230.0
02,0.0,137373.0,466030.0
03,0.0,140060.0,485851.0
03,1.0,50.0,
04,0.0,126214.0,717116.0
05,0.0,129817.0,122211.0
06,0.0,342234.0,201402.0
07,0.0,344096.0,256287.0
08,0.0,393840.0,262174.0
08,1.0,,600.0
09,0.0,593802.0,337530.0
09,1.0,30.0,1200.0
10,0.0,431265.0,326542.0
10,1.0,960.0,2910.0
11,0.0,460308.0,439805.0
12,0.0,320333.0,309879.0
13,0.0,354994.0,193546.0
14,0.0,472288.0,1956.0
14,1.0,10.0,
15,0.0,171696.0,568143.0
16,0.0,224578.0,342576.0
16,1.0,,280.0
17,0.0,307962.0,430074.0
17,1.0,30.0,
18,0.0,496606.0,320556.0
19,0.0,393889.0,465639.0
19,1.0,,320.0
20,0.0,111759.0,323438.0
21,0.0,303956.0,357074.0
21,1.0,20.0,
22,0.0,52101.0,452329.0
22,1.0,69535.0,
23,0.0,264050.0,389445.0
23,1.0,1132.0,
24,0.0,212922.0,358145.0
25,0.0,6846.0,319297.0
26,0.0,14992.0,537277.0
27,0.0,103940.0,512170.0
27,1.0,2638.0,
28,0.0,401142.0,332600.0
29,0.0,30932.0,324811.0
30,0.0,100604.0,178568.0
31,0.0,12733.0,76104.0
