day,powerPneumatic,2020_powerPneumatic,2021_powerPneumatic
01,0.0,,319713.0
01,1.0,,2050.0
02,0.0,137013.0,465574.0
02,1.0,360.0,486.0
03,0.0,139705.0,484423.0
03,1.0,487.0,1508.0
04,0.0,125427.0,292720.0
04,1.0,812.0,353407.0
05,0.0,129851.0,121799.0
05,1.0,,485.0
06,0.0,341685.0,201103.0
06,1.0,594.0,292.0
07,0.0,342015.0,255966.0
07,1.0,2142.0,359.0
08,0.0,393877.0,260943.0
08,1.0,,1916.0
08,3.0,,1.0
09,0.0,593526.0,332435.0
09,1.0,403.0,6349.0
10,0.0,432257.0,329429.0
10,1.0,,69.0
11,0.0,460140.0,375716.0
11,1.0,247.0,1851.0
12,0.0,320352.0,309777.0
12,1.0,,156.0
13,0.0,353662.0,162871.0
13,1.0,790.0,30734.0
14,0.0,472354.0,1034.0
14,1.0,,943.0
15,0.0,160578.0,563104.0
15,1.0,11220.0,3936.0
16,0.0,221952.0,342892.0
16,1.0,2722.0,
17,0.0,299430.0,428760.0
17,1.0,8663.0,1394.0
18,0.0,496444.0,318689.0
18,1.0,227.0,1908.0
19,0.0,391084.0,465213.0
19,1.0,2898.0,784.0
20,0.0,92978.0,323487.0
20,1.0,18894.0,
21,0.0,300032.0,248457.0
21,1.0,4049.0,108656.0
21,3.0,,3.0
22,0.0,121281.0,451919.0
22,1.0,360.0,490.0
23,0.0,264987.0,315513.0
23,1.0,137.0,73979.0
23,3.0,,1.0
24,0.0,208727.0,354894.0
24,1.0,4248.0,3329.0
25,0.0,6478.0,318414.0
25,1.0,380.0,914.0
26,0.0,14352.0,536733.0
26,1.0,652.0,600.0
27,0.0,105678.0,504276.0
27,1.0,914.0,6076.0
28,0.0,393108.0,296592.0
28,1.0,8046.0,35909.0
29,0.0,30962.0,324304.0
29,1.0,,589.0
30,0.0,99772.0,173417.0
30,1.0,389.0,5205.0
31,0.0,11447.0,75405.0
31,1.0,642.0,716.0
31,3.0,,1.0
