day,powerTransmissionMode_8x8,2020_powerTransmissionMode_8x8,2021_powerTransmissionMode_8x8
01,0.0,,317892.0
01,1.0,,30.0
01,2.0,,3841.0
02,0.0,137373.0,440765.0
02,1.0,,120.0
02,2.0,,20654.0
02,5.0,,4521.0
03,0.0,140093.0,485303.0
03,5.0,85.0,627.0
04,0.0,125679.0,293494.0
04,5.0,560.0,352627.0
05,0.0,129851.0,122069.0
05,5.0,,215.0
06,0.0,223351.0,201369.0
06,1.0,,25.0
06,2.0,118917.0,
07,0.0,307895.0,256323.0
07,1.0,25.0,
07,2.0,34290.0,
07,4.0,15.0,
07,5.0,1923.0,
08,0.0,393862.0,261891.0
08,5.0,,965.0
09,0.0,593914.0,258573.0
09,1.0,,5.0
09,2.0,,80003.0
09,5.0,,201.0
10,0.0,418089.0,275362.0
10,1.0,10.0,
10,2.0,13477.0,54136.0
10,5.0,676.0,
11,0.0,406783.0,377465.0
11,1.0,65.0,
11,2.0,48766.0,
11,5.0,4766.0,100.0
12,0.0,320313.0,295083.0
12,1.0,36.0,55.0
12,2.0,,14055.0
12,5.0,,740.0
13,0.0,353441.0,188737.0
13,1.0,5.0,
13,2.0,449.0,
13,5.0,537.0,4868.0
14,0.0,472337.0,1970.0
15,0.0,120277.0,565923.0
15,1.0,10091.0,
15,2.0,13134.0,
15,3.0,1735.0,
15,4.0,13668.0,
15,5.0,12893.0,1117.0
16,0.0,214451.0,342891.0
16,1.0,3803.0,
16,2.0,5508.0,
16,5.0,907.0,
17,0.0,308082.0,425602.0
17,5.0,,4549.0
18,0.0,463288.0,320597.0
18,1.0,232.0,
18,2.0,28907.0,
18,5.0,4221.0,
19,0.0,258241.0,456359.0
19,1.0,125.0,85.0
19,2.0,97196.0,8502.0
19,5.0,38403.0,1051.0
20,0.0,78393.0,323484.0
20,1.0,1706.0,
20,2.0,29893.0,
20,5.0,1864.0,
21,0.0,300013.0,284756.0
21,2.0,4047.0,
21,5.0,,72359.0
22,0.0,121641.0,452409.0
23,0.0,264987.0,345748.0
23,5.0,137.0,43745.0
24,0.0,208977.0,358223.0
24,5.0,3994.0,
25,0.0,6858.0,319328.0
26,0.0,15003.0,506305.0
26,1.0,,81.0
26,2.0,,28936.0
26,5.0,,2011.0
27,0.0,106264.0,415040.0
27,1.0,,40.0
27,2.0,,91320.0
27,5.0,325.0,3952.0
28,0.0,357412.0,332496.0
28,1.0,85.0,
28,2.0,42125.0,
28,5.0,1528.0,
29,0.0,,324034.0
29,1.0,,15.0
29,2.0,30956.0,260.0
29,5.0,,583.0
30,0.0,32134.0,176080.0
30,2.0,68026.0,1977.0
30,5.0,,565.0
31,0.0,12070.0,76121.0
31,5.0,19.0,
