day,rearDoorOpen,2020_rearDoorOpen,2021_rearDoorOpen
01,0,,262140.0
01,1,,59956.0
02,0,113837.0,441575.0
02,1,23536.0,24485.0
03,0,99905.0,362258.0
03,1,40287.0,123673.0
04,0,113455.0,597323.0
04,1,12784.0,119866.0
05,0,108482.0,61169.0
05,1,21369.0,61115.0
06,0,301047.0,123095.0
06,1,41232.0,78371.0
07,0,258108.0,105913.0
07,1,86049.0,150412.0
08,0,319245.0,220820.0
08,1,74632.0,42044.0
09,0,460480.0,235214.0
09,1,133449.0,103570.0
10,0,370163.0,220798.0
10,1,62094.0,108700.0
11,0,376850.0,308563.0
11,1,83537.0,131303.0
12,0,240354.0,83116.0
12,1,79998.0,226817.0
13,0,234875.0,37296.0
13,1,120177.0,156309.0
14,0,404291.0,1355.0
14,1,68063.0,622.0
15,0,123928.0,533219.0
15,1,47870.0,35001.0
16,0,192789.0,292070.0
16,1,31885.0,50822.0
17,0,138079.0,369760.0
17,1,170014.0,60394.0
18,0,389189.0,260582.0
18,1,107482.0,60015.0
19,0,309404.0,380134.0
19,1,84578.0,85863.0
20,0,57520.0,286658.0
20,1,54352.0,36829.0
21,0,266914.0,334602.0
21,1,37167.0,22514.0
22,0,111197.0,371763.0
22,1,10444.0,80646.0
23,0,118250.0,220577.0
23,1,146973.0,168916.0
24,0,162599.0,260263.0
24,1,50376.0,97960.0
25,0,6858.0,258449.0
25,1,,60879.0
26,0,9415.0,399158.0
26,1,5589.0,138175.0
27,0,75888.0,340618.0
27,1,30704.0,171664.0
28,0,395640.0,295204.0
28,1,5514.0,37481.0
29,0,5578.0,145216.0
29,1,25384.0,179677.0
30,0,32965.0,79259.0
30,1,67664.0,99363.0
31,0,9119.0,76122.0
31,1,3654.0,
