day,rescueWinchClutch,2020_rescueWinchClutch,2021_rescueWinchClutch
01,0,,322096.0
02,0,137373.0,466060.0
03,0,140192.0,462227.0
03,1,,23704.0
04,0,,717189.0
04,1,126239.0,
05,0,125986.0,122284.0
05,1,3865.0,
06,0,342279.0,201448.0
06,1,,18.0
07,0,344157.0,256325.0
08,0,393877.0,262864.0
09,0,593929.0,338784.0
10,0,432257.0,329498.0
11,0,460387.0,439866.0
12,0,320352.0,309933.0
13,0,355052.0,193605.0
14,0,472354.0,1977.0
15,0,171798.0,568220.0
16,0,224674.0,342574.0
16,1,,318.0
17,0,308093.0,430154.0
18,0,496671.0,320597.0
19,0,393982.0,465997.0
20,0,111872.0,323487.0
21,0,304081.0,357116.0
22,0,121641.0,452409.0
23,0,265223.0,389493.0
24,0,212975.0,358223.0
25,0,6858.0,319328.0
26,0,8180.0,537333.0
26,1,6824.0,
27,0,106592.0,257225.0
27,1,,255057.0
28,0,401154.0,332082.0
28,1,,603.0
29,0,30962.0,324893.0
30,0,100629.0,178622.0
31,0,12773.0,76122.0
