day,retarderBrake,2020_retarderBrake,2021_retarderBrake
01,0,,322096.0
02,0,137373.0,466060.0
03,0,140192.0,485602.0
03,1,,329.0
04,0,126239.0,717189.0
05,0,129851.0,122284.0
06,0,342279.0,200844.0
06,1,,622.0
07,0,344157.0,256085.0
07,1,,240.0
08,0,393877.0,262864.0
09,0,593929.0,338784.0
10,0,432257.0,329498.0
11,0,460387.0,439866.0
12,0,311153.0,309933.0
12,1,9199.0,
13,0,355052.0,193605.0
14,0,472354.0,1977.0
15,0,171672.0,568220.0
15,1,126.0,
16,0,224674.0,342892.0
17,0,308093.0,430154.0
18,0,496671.0,320597.0
19,0,393982.0,465997.0
20,0,111732.0,323487.0
20,1,140.0,
21,0,304081.0,357116.0
22,0,121641.0,452409.0
23,0,265223.0,389493.0
24,0,212975.0,358223.0
25,0,6858.0,319328.0
26,0,15004.0,537333.0
27,0,106592.0,512280.0
27,1,,2.0
28,0,401154.0,332651.0
28,1,,34.0
29,0,30962.0,324893.0
30,0,100629.0,178622.0
31,0,12773.0,76122.0
