day,rightInfantryRoomAirTank,2020_rightInfantryRoomAirTank,2021_rightInfantryRoomAirTank
01,0,,319672.0
01,1,,2424.0
02,0,136962.0,465471.0
02,1,411.0,589.0
03,0,139636.0,484979.0
03,1,556.0,952.0
04,0,125320.0,293001.0
04,1,919.0,424188.0
05,0,129851.0,121738.0
05,1,,546.0
06,0,341685.0,201051.0
06,1,594.0,415.0
07,0,342358.0,255908.0
07,1,1799.0,417.0
08,0,393865.0,260852.0
08,1,12.0,2012.0
09,0,593554.0,338250.0
09,1,375.0,534.0
10,0,432257.0,329298.0
10,1,,200.0
11,0,459980.0,434501.0
11,1,407.0,5365.0
12,0,320352.0,309933.0
13,0,354265.0,166066.0
13,1,787.0,27539.0
14,0,472354.0,1057.0
14,1,,920.0
15,0,159949.0,562752.0
15,1,11849.0,5468.0
16,0,221332.0,342892.0
16,1,3342.0,
17,0,306578.0,428754.0
17,1,1515.0,1400.0
18,0,496671.0,319010.0
18,1,,1587.0
19,0,390868.0,465381.0
19,1,3114.0,616.0
20,0,98608.0,323487.0
20,1,13264.0,
21,0,300032.0,256360.0
21,1,4049.0,100756.0
22,0,121254.0,451843.0
22,1,387.0,566.0
23,0,264988.0,322003.0
23,1,235.0,67490.0
24,0,208514.0,357991.0
24,1,4461.0,232.0
25,0,6447.0,318422.0
25,1,411.0,906.0
26,0,14291.0,536729.0
26,1,713.0,604.0
27,0,105562.0,503164.0
27,1,1030.0,9118.0
28,0,393123.0,298692.0
28,1,8031.0,33993.0
29,0,30962.0,324158.0
29,1,,735.0
30,0,100344.0,173528.0
30,1,285.0,5094.0
31,0,12074.0,75318.0
31,1,699.0,804.0
