day,twoAxisDifferentialLock,2020_twoAxisDifferentialLock,2021_twoAxisDifferentialLock
01,0.0,,321488
01,1.0,,275
02,0.0,137373.0,466060
03,0.0,140192.0,485931
04,0.0,126239.0,646127
05,0.0,129851.0,122284
06,0.0,342279.0,201395
07,0.0,344157.0,256325
08,0.0,393877.0,262860
09,0.0,593929.0,338784
10,0.0,432257.0,329498
11,0.0,460387.0,377567
12,0.0,320352.0,309933
13,0.0,354452.0,193605
14,0.0,472354.0,1977
15,0.0,171798.0,567040
16,0.0,224674.0,342892
17,0.0,308093.0,430154
18,0.0,496671.0,320597
19,0.0,393982.0,465997
20,0.0,111872.0,323487
21,0.0,304081.0,357116
22,0.0,121641.0,452409
23,0.0,265124.0,389493
24,0.0,212975.0,358223
25,0.0,6858.0,319328
26,0.0,15004.0,537333
27,0.0,106592.0,510352
28,0.0,401154.0,332501
29,0.0,30962.0,324893
30,0.0,100161.0,178622
31,0.0,12089.0,76122
