,2020_CTIS_controlAirPressure,2021_CTIS_controlAirPressure
01,,
02,,
03,1.0820786516853924,4.916594543240967
04,,69.93757236645749
05,,
06,,20.49460455861859
07,0.7807633183650956,17.571147982706716
08,,13.99340795754813
09,,
10,,
11,,2.1395599523422915
12,,
13,,
14,,
15,,
16,,
17,5.3150698924729305,
18,,
19,5.046141976236662,
20,-0.21658149348979674,
21,5.3256230693326545,
22,,
23,,
24,2.0793308633656964,
25,,
26,,
27,,19.007511323003428
28,,0.06891853932584259
29,,
30,,
31,,17.073771559933125
