month,ABSOperation,2020_ABSOperation,2021_ABSOperation
00,0.0,,75.0
00,2.0,,10.0
01,0.0,106199.0,550603.0
01,2.0,,125000.0
02,0.0,1408782.0,467394.0
02,1.0,11.0,
02,2.0,30.0,6.0
03,0.0,58681.0,1175737.0
04,0.0,938005.0,1322530.0
04,2.0,9.0,4.0
05,0.0,729272.0,308108.0
06,0.0,1268001.0,1280325.0
06,2.0,,14.0
07,0.0,891332.0,451043.0
07,1.0,22.0,20.0
07,2.0,16.0,
08,0.0,115755.0,1626704.0
08,2.0,,8.0
09,0.0,870964.0,8150.0
10,0.0,143263.0,695705.0
11,0.0,883340.0,1394135.0
11,1.0,,31.0
11,2.0,4.0,14.0
12,0.0,119189.0,1331887.0
12,2.0,241.0,228.0
