month,ABSWarningLamp,2020_ABSWarningLamp,2021_ABSWarningLamp
00,0.0,,75.0
00,1.0,,10.0
01,0.0,41807.0,549669.0
01,1.0,64392.0,125934.0
02,0.0,1256784.0,467371.0
02,1.0,152039.0,29.0
03,0.0,58677.0,1175737.0
03,1.0,4.0,
04,0.0,920290.0,1322505.0
04,1.0,17724.0,29.0
05,0.0,724259.0,308108.0
05,1.0,5013.0,
06,0.0,1267987.0,1280318.0
06,1.0,14.0,21.0
07,0.0,891354.0,451042.0
07,1.0,16.0,21.0
08,0.0,115755.0,1626704.0
08,1.0,,8.0
09,0.0,870964.0,8150.0
10,0.0,143263.0,695699.0
10,1.0,,6.0
11,0.0,883340.0,1394166.0
11,1.0,4.0,14.0
12,0.0,119178.0,1331764.0
12,1.0,252.0,351.0
