month,additionalTransmissionLowSpeedSwitch,2020_additionalTransmissionLowSpeedSwitch,2021_additionalTransmissionLowSpeedSwitch
00,0.0,,79.0
01,0.0,76619.0,541476.0
01,1.0,29580.0,
02,0.0,1222610.0,467400.0
02,1.0,186213.0,
03,0.0,58680.0,1175733.0
04,0.0,938014.0,1322534.0
05,0.0,686530.0,308108.0
05,1.0,42742.0,
06,0.0,1215739.0,1278170.0
06,1.0,52262.0,2169.0
07,0.0,753663.0,451056.0
07,1.0,137706.0,7.0
07,3.0,1.0,
08,0.0,115751.0,1506590.0
08,1.0,4.0,120121.0
08,3.0,,1.0
09,0.0,842674.0,8150.0
09,1.0,28290.0,
10,0.0,143258.0,695521.0
10,1.0,5.0,
11,0.0,849096.0,1351354.0
11,1.0,33648.0,42825.0
11,3.0,,1.0
12,0.0,118345.0,1329363.0
12,1.0,,10.0
