month,additionalTransmission_highSpeedSwitch,2020_additionalTransmission_highSpeedSwitch,2021_additionalTransmission_highSpeedSwitch
00,1.0,,79.0
01,0.0,44349.0,
01,1.0,61850.0,541473.0
01,3.0,,3.0
02,0.0,186353.0,
02,1.0,1222467.0,467392.0
02,3.0,3.0,8.0
03,1.0,58680.0,1175716.0
03,3.0,,17.0
04,1.0,938007.0,1322511.0
04,3.0,7.0,23.0
05,0.0,42749.0,
05,1.0,686521.0,308103.0
05,3.0,2.0,5.0
06,0.0,52313.0,2190.0
06,1.0,1215666.0,1278119.0
06,3.0,22.0,30.0
07,0.0,137725.0,100.0
07,1.0,753629.0,450954.0
07,3.0,16.0,9.0
08,0.0,4.0,120142.0
08,1.0,115749.0,1506544.0
08,3.0,2.0,26.0
09,0.0,28407.0,
09,1.0,842540.0,8150.0
09,3.0,17.0,
10,0.0,5.0,
10,1.0,143257.0,695513.0
10,3.0,1.0,8.0
11,0.0,34140.0,42903.0
11,1.0,848591.0,1351261.0
11,3.0,13.0,16.0
12,0.0,,12.0
12,1.0,118344.0,1329345.0
12,3.0,1.0,16.0
