month,additionalTransmission_neutralSwitch,2020_additionalTransmission_neutralSwitch,2021_additionalTransmission_neutralSwitch
00,0.0,,79.0
01,0.0,91433.0,541476.0
01,1.0,14766.0,
02,0.0,1408704.0,467400.0
02,1.0,119.0,
03,0.0,58680.0,1175733.0
04,0.0,938014.0,1322534.0
05,0.0,729267.0,308108.0
05,1.0,5.0,
06,0.0,1267954.0,1280326.0
06,1.0,47.0,13.0
07,0.0,891356.0,451063.0
07,1.0,14.0,
08,0.0,115755.0,1626694.0
08,1.0,,18.0
09,0.0,870847.0,8150.0
09,1.0,117.0,
10,0.0,143263.0,695521.0
11,0.0,882254.0,1394136.0
11,1.0,490.0,44.0
12,0.0,118345.0,1329371.0
12,1.0,,2.0
