month,automaticTransmission,2020_automaticTransmission,2021_automaticTransmission
00,0,,85.0
01,0,87379.0,643455.0
01,1,18820.0,32148.0
02,0,1408433.0,467196.0
02,1,390.0,204.0
03,0,58641.0,1175510.0
03,1,40.0,227.0
04,0,935032.0,1322071.0
04,1,2982.0,463.0
05,0,729056.0,308108.0
05,1,216.0,
06,0,1265838.0,1280083.0
06,1,2163.0,256.0
07,0,889648.0,448963.0
07,1,1722.0,2100.0
08,0,115755.0,1625024.0
08,1,,1688.0
09,0,869336.0,8066.0
09,1,1628.0,84.0
10,0,143263.0,695645.0
10,1,,60.0
11,0,882720.0,1392790.0
11,1,624.0,1390.0
12,0,119595.0,1328472.0
12,1,,3643.0
