month,axleDifferential,2020_axleDifferential,2021_axleDifferential
00,0.0,,79.0
01,0.0,88166.0,541476.0
01,1.0,18033.0,
02,0.0,1385967.0,467400.0
02,1.0,22856.0,
03,0.0,58680.0,1175733.0
04,0.0,938014.0,1322534.0
05,0.0,719041.0,308108.0
05,1.0,10231.0,
06,0.0,1228424.0,1279155.0
06,1.0,39577.0,1184.0
07,0.0,856846.0,451062.0
07,1.0,34524.0,1.0
08,0.0,115754.0,1597002.0
08,1.0,1.0,29710.0
09,0.0,856865.0,8150.0
09,1.0,14099.0,
10,0.0,143257.0,695521.0
10,1.0,6.0,
11,0.0,846463.0,1353592.0
11,1.0,36281.0,40588.0
12,0.0,118345.0,1329373.0
