month,brake,2020_brake,2021_brake
00,0.0,,85
01,0.0,100140.0,673107
01,1.0,4481.0,2496
02,0.0,1199730.0,432525
02,1.0,209093.0,34875
03,0.0,52842.0,1009972
03,1.0,5839.0,165765
04,0.0,760974.0,1083463
04,1.0,177040.0,239071
05,0.0,640678.0,280152
05,1.0,88594.0,27956
06,0.0,1100582.0,1147207
06,1.0,167419.0,133132
07,0.0,757946.0,377591
07,1.0,133424.0,73472
08,0.0,108406.0,1474740
08,1.0,7349.0,151972
09,0.0,769894.0,7621
09,1.0,101070.0,529
10,0.0,141094.0,597838
10,1.0,2169.0,97867
11,0.0,721603.0,1143683
11,1.0,161741.0,250497
12,0.0,117786.0,1181075
12,1.0,1644.0,151040
