month,chargeState,2020_chargeState,2021_chargeState
00,0,,36
00,1,,49
01,0,64693.0,240651
01,1,41506.0,434952
02,0,1388369.0,421949
02,1,20454.0,45451
03,0,55111.0,1127857
03,1,3570.0,47880
04,0,913016.0,1230971
04,1,24998.0,91563
05,0,706606.0,297848
05,1,22666.0,10260
06,0,1222298.0,1101272
06,1,45703.0,179067
07,0,866225.0,423037
07,1,25145.0,28026
08,0,112500.0,1428333
08,1,3255.0,198379
09,0,836800.0,5678
09,1,34164.0,2472
10,0,103323.0,640356
10,1,39940.0,55349
11,0,811033.0,1363918
11,1,72311.0,30262
12,0,111725.0,1279241
12,1,7870.0,52874
