month,coolingFanMode,2020_coolingFanMode,2021_coolingFanMode
00,0.0,,60.0
00,5.0,,25.0
01,0.0,104552.0,529295.0
01,1.0,29.0,
01,4.0,38.0,207.0
01,5.0,1578.0,146101.0
02,0.0,1279247.0,467392.0
02,1.0,129544.0,8.0
02,4.0,20.0,
03,0.0,58644.0,1140543.0
03,1.0,13.0,35189.0
03,4.0,23.0,5.0
04,0.0,794056.0,926667.0
04,1.0,143958.0,395839.0
04,4.0,,28.0
05,0.0,561555.0,240923.0
05,1.0,167717.0,67148.0
05,4.0,,37.0
06,0.0,558623.0,769180.0
06,1.0,709348.0,511091.0
06,4.0,30.0,68.0
07,0.0,295291.0,55023.0
07,1.0,596079.0,396040.0
08,0.0,31204.0,422449.0
08,1.0,84324.0,1204253.0
08,4.0,227.0,10.0
09,0.0,425376.0,8149.0
09,1.0,445563.0,1.0
09,4.0,25.0,
10,0.0,143262.0,621153.0
10,1.0,1.0,74552.0
11,0.0,882010.0,1342230.0
11,1.0,1334.0,51948.0
11,5.0,,2.0
12,0.0,119588.0,1325526.0
12,1.0,,6363.0
12,4.0,5.0,211.0
12,5.0,2.0,15.0
