month,currentTransmission,2020_currentTransmission,2021_currentTransmission
00,0.0,,85.0
01,-1.0,2075.0,1301.0
01,0.0,88597.0,672872.0
01,1.0,2.0,
01,3.0,2.0,
01,4.0,7257.0,1430.0
02,-1.0,127764.0,28466.0
02,0.0,760497.0,351552.0
02,1.0,14431.0,8.0
02,2.0,261.0,51.0
02,3.0,5141.0,228.0
02,4.0,500729.0,87095.0
03,-1.0,2883.0,108626.0
03,0.0,39395.0,605698.0
03,1.0,5.0,35343.0
03,2.0,,126.0
03,3.0,4.0,948.0
03,4.0,16394.0,424996.0
04,-1.0,119380.0,148307.0
04,0.0,460941.0,622908.0
04,1.0,42733.0,359.0
04,2.0,1117.0,133.0
04,3.0,2364.0,463.0
04,4.0,311479.0,550364.0
05,-1.0,45357.0,7626.0
05,0.0,442033.0,194089.0
05,1.0,7784.0,7.0
05,2.0,27.0,84.0
05,3.0,1921.0,157.0
05,4.0,232150.0,106145.0
06,-1.0,151253.0,87623.0
06,0.0,753458.0,741085.0
06,1.0,27348.0,74165.0
06,2.0,278.0,25568.0
06,3.0,4924.0,873.0
06,4.0,330740.0,351025.0
07,-1.0,85615.0,73936.0
07,0.0,456604.0,229280.0
07,1.0,37367.0,12.0
07,2.0,549.0,17.0
07,3.0,3985.0,563.0
07,4.0,307250.0,147255.0
08,-1.0,3783.0,122812.0
08,0.0,103340.0,1225710.0
08,1.0,,18127.0
08,2.0,,95.0
08,3.0,2.0,1773.0
08,4.0,8630.0,258195.0
09,-1.0,44629.0,298.0
09,0.0,407577.0,7216.0
09,1.0,11756.0,
09,2.0,150.0,11.0
09,3.0,9375.0,
09,4.0,397477.0,625.0
10,-1.0,197.0,60739.0
10,0.0,143028.0,364462.0
10,1.0,5.0,7594.0
10,2.0,,6276.0
10,3.0,,2889.0
10,4.0,33.0,253745.0
11,-1.0,81445.0,145888.0
11,0.0,415714.0,565933.0
11,1.0,29352.0,93896.0
11,2.0,149.0,30081.0
11,3.0,1490.0,10674.0
11,4.0,355194.0,547708.0
12,-1.0,1049.0,138940.0
12,0.0,116435.0,798239.0
12,2.0,,35.0
12,3.0,,4059.0
12,4.0,1946.0,390842.0
