month,detailedTransmission,2020_detailedTransmission,2021_detailedTransmission
00,0.0,,85.0
01,-1.0,2075.0,1301.0
01,0.0,88597.0,672872.0
01,1.0,515.0,97.0
01,2.0,2655.0,1330.0
01,3.0,1103.0,3.0
01,4.0,2698.0,
01,5.0,290.0,
02,-1.0,127764.0,28466.0
02,0.0,760497.0,351552.0
02,1.0,55500.0,4792.0
02,2.0,419865.0,56552.0
02,3.0,44337.0,22325.0
02,4.0,860.0,3568.0
02,5.0,,145.0
03,-1.0,2883.0,108626.0
03,0.0,39395.0,605698.0
03,1.0,543.0,59038.0
03,2.0,11308.0,384328.0
03,3.0,4183.0,18020.0
03,4.0,369.0,27.0
04,-1.0,119380.0,148307.0
04,0.0,460941.0,622908.0
04,1.0,66781.0,27561.0
04,2.0,282575.0,448815.0
04,3.0,8166.0,73087.0
04,4.0,171.0,1810.0
04,5.0,,46.0
05,-1.0,45357.0,7626.0
05,0.0,442033.0,194089.0
05,1.0,20639.0,1840.0
05,2.0,174605.0,80643.0
05,3.0,41176.0,23798.0
05,4.0,5134.0,112.0
05,5.0,328.0,
06,-1.0,151253.0,87623.0
06,0.0,753458.0,741085.0
06,1.0,55938.0,121507.0
06,2.0,296169.0,314479.0
06,3.0,10833.0,14824.0
06,4.0,350.0,821.0
07,-1.0,85615.0,73936.0
07,0.0,456604.0,229280.0
07,1.0,62552.0,15518.0
07,2.0,240331.0,115209.0
07,3.0,45242.0,15343.0
07,4.0,925.0,1777.0
07,5.0,101.0,
08,-2.0,,15.0
08,-1.0,3783.0,122797.0
08,0.0,103340.0,1225710.0
08,1.0,288.0,43864.0
08,2.0,5050.0,232756.0
08,3.0,2453.0,1477.0
08,4.0,841.0,93.0
09,-1.0,44629.0,298.0
09,0.0,407577.0,7216.0
09,1.0,29212.0,22.0
09,2.0,359302.0,608.0
09,3.0,27934.0,6.0
09,4.0,2166.0,
09,5.0,144.0,
10,-1.0,197.0,60739.0
10,0.0,143028.0,364462.0
10,1.0,7.0,23812.0
10,2.0,25.0,228745.0
10,3.0,6.0,17392.0
10,4.0,,541.0
10,5.0,,14.0
11,-1.0,81445.0,145888.0
11,0.0,415714.0,565933.0
11,1.0,46745.0,148813.0
11,2.0,287236.0,446334.0
11,3.0,51315.0,76726.0
11,4.0,889.0,9436.0
11,5.0,,1050.0
12,-1.0,1049.0,138940.0
12,0.0,116435.0,798239.0
12,1.0,53.0,29776.0
12,2.0,1138.0,286719.0
12,3.0,755.0,72326.0
12,4.0,,6081.0
12,5.0,,34.0
