month,engineOilPressureState,2020_engineOilPressureState,2021_engineOilPressureState
00,0,,49
00,1,,36
01,0,44501.0,435265
01,1,61698.0,240338
02,0,21207.0,45703
02,1,1387616.0,421697
03,0,3762.0,48568
03,1,54919.0,1127169
04,0,25663.0,92799
04,1,912351.0,1229735
05,0,22215.0,10583
05,1,707057.0,297525
06,0,46407.0,179970
06,1,1221594.0,1100369
07,0,25771.0,28318
07,1,865599.0,422745
08,0,3407.0,199644
08,1,112348.0,1427068
09,0,34525.0,4255
09,1,836439.0,3895
10,0,40029.0,695076
10,1,103234.0,629
11,0,72793.0,1392954
11,1,810551.0,1226
12,0,7994.0,1331239
12,1,111601.0,876
