month,engineOverrideControlMode,2020_engineOverrideControlMode,2021_engineOverrideControlMode
00,0.0,,85
01,0.0,70758.0,672870
01,3.0,27176.0,2733
02,0.0,759851.0,351409
02,3.0,648972.0,115991
03,0.0,39383.0,605436
03,3.0,19298.0,570301
04,0.0,460424.0,622463
04,3.0,477590.0,700071
05,0.0,441875.0,194060
05,3.0,287397.0,114048
06,0.0,752994.0,740878
06,3.0,515007.0,539461
07,0.0,456325.0,229021
07,3.0,435045.0,222042
08,0.0,103341.0,1225389
08,3.0,12414.0,401323
09,0.0,407439.0,7216
09,3.0,463525.0,934
10,0.0,143025.0,364195
10,3.0,238.0,331510
11,0.0,415417.0,565394
11,3.0,467927.0,828786
12,0.0,116413.0,797610
12,3.0,3017.0,534505
