month,engineWarning,2020_engineWarning,2021_engineWarning
00,0.0,,84
00,1.0,,1
01,0.0,96483.0,634001
01,1.0,8138.0,41602
02,0.0,1408437.0,467252
02,1.0,386.0,148
03,0.0,58680.0,1174791
03,1.0,1.0,946
04,0.0,937799.0,1320103
04,1.0,215.0,2431
05,0.0,728889.0,307884
05,1.0,383.0,224
06,0.0,1266923.0,1278876
06,1.0,1078.0,1463
07,0.0,890727.0,450540
07,1.0,643.0,523
08,0.0,115571.0,1623468
08,1.0,184.0,3244
09,0.0,870644.0,8108
09,1.0,320.0,42
10,0.0,143137.0,695135
10,1.0,126.0,570
11,0.0,882463.0,1393292
11,1.0,881.0,888
12,0.0,119382.0,1331309
12,1.0,48.0,806
