month,fourAxisWheelPower,2020_fourAxisWheelPower,2021_fourAxisWheelPower
00,0.0,,43.0
00,1.0,,36.0
01,0.0,85844.0,354107.0
01,1.0,20355.0,187366.0
01,3.0,,3.0
02,0.0,190980.0,8104.0
02,1.0,1217838.0,459286.0
02,3.0,5.0,10.0
03,0.0,20.0,709.0
03,1.0,58660.0,1174999.0
03,3.0,,25.0
04,0.0,40.0,1572.0
04,1.0,937966.0,1320932.0
04,3.0,8.0,30.0
05,0.0,42693.0,3491.0
05,1.0,686576.0,304611.0
05,3.0,3.0,6.0
06,0.0,52623.0,77179.0
06,1.0,1215337.0,1203120.0
06,3.0,41.0,40.0
07,0.0,138220.0,349.0
07,1.0,753123.0,450701.0
07,3.0,27.0,13.0
08,0.0,4.0,168919.0
08,1.0,115744.0,1457761.0
08,3.0,7.0,32.0
09,0.0,28500.0,60.0
09,1.0,842433.0,8090.0
09,3.0,31.0,
10,0.0,2992.0,466.0
10,1.0,140267.0,695036.0
10,3.0,4.0,19.0
11,0.0,42226.0,183095.0
11,1.0,840493.0,1211048.0
11,3.0,25.0,37.0
12,0.0,4698.0,2631.0
12,1.0,113646.0,1326714.0
12,3.0,1.0,28.0
