month,frontAirTank,2020_frontAirTank,2021_frontAirTank
00,0,,37
00,1,,48
01,0,93082.0,243805
01,1,13117.0,431798
02,0,1408229.0,465765
02,1,594.0,1635
03,0,58678.0,1173746
03,1,3.0,1991
04,0,931106.0,1321316
04,1,6908.0,1218
05,0,729272.0,302948
05,1,,5160
06,0,1267463.0,1182606
06,1,538.0,97733
07,0,889953.0,451009
07,1,1417.0,54
08,0,115032.0,1534877
08,1,723.0,91835
09,0,870386.0,7784
09,1,578.0,366
10,0,128125.0,665567
10,1,15138.0,30138
11,0,881604.0,1392748
11,1,1740.0,1432
12,0,112894.0,1316151
12,1,6701.0,15964
