month,leftInfantryRoomAirTank,2020_leftInfantryRoomAirTank,2021_leftInfantryRoomAirTank
00,0,,37
00,1,,48
01,0,89299.0,243727
01,1,16900.0,431876
02,0,1408198.0,465339
02,1,625.0,2061
03,0,58678.0,1173343
03,1,3.0,2394
04,0,931071.0,1320967
04,1,6943.0,1567
05,0,729064.0,301464
05,1,208.0,6644
06,0,1267405.0,1178093
06,1,596.0,102246
07,0,889727.0,450719
07,1,1643.0,344
08,0,114792.0,1529341
08,1,963.0,97371
09,0,870204.0,7660
09,1,760.0,490
10,0,125588.0,659769
10,1,17675.0,35936
11,0,880504.0,1392516
11,1,2840.0,1664
12,0,112123.0,1314092
12,1,7472.0,18023
