month,mediumTransmissionMode,2020_mediumTransmissionMode,2021_mediumTransmissionMode
00,2.0,,79.0
01,1.0,29709.0,
01,2.0,50179.0,541471.0
01,3.0,11511.0,
02,1.0,185911.0,
02,2.0,1221923.0,467400.0
02,3.0,922.0,
03,2.0,58672.0,1175724.0
04,2.0,937941.0,1322529.0
05,1.0,42695.0,
05,2.0,686500.0,308105.0
05,3.0,25.0,
06,1.0,52064.0,2178.0
06,2.0,1215728.0,1278149.0
06,3.0,195.0,
07,1.0,136804.0,7.0
07,2.0,753735.0,450981.0
07,3.0,831.0,75.0
08,1.0,4.0,119552.0
08,2.0,115751.0,1506578.0
08,3.0,,580.0
09,1.0,27679.0,
09,2.0,842594.0,8150.0
09,3.0,691.0,
10,1.0,5.0,
10,2.0,143258.0,695517.0
11,1.0,31372.0,42273.0
11,2.0,848650.0,1351303.0
11,3.0,2235.0,599.0
12,1.0,,15.0
12,2.0,118344.0,1329358.0
