month,oneAxisWheelPower,2020_oneAxisWheelPower,2021_oneAxisWheelPower
00,0.0,,43.0
00,1.0,,36.0
01,0.0,70187.0,354156.0
01,1.0,36012.0,187317.0
01,3.0,,3.0
02,0.0,188436.0,1325.0
02,1.0,1220384.0,466065.0
02,3.0,3.0,10.0
03,0.0,20.0,704.0
03,1.0,58660.0,1175009.0
03,3.0,,20.0
04,0.0,40.0,1300.0
04,1.0,937967.0,1321204.0
04,3.0,7.0,30.0
05,0.0,42966.0,3021.0
05,1.0,686303.0,305081.0
05,3.0,3.0,6.0
06,0.0,52833.0,76686.0
06,1.0,1215134.0,1203615.0
06,3.0,34.0,38.0
07,0.0,138060.0,349.0
07,1.0,753287.0,450702.0
07,3.0,23.0,12.0
08,0.0,4.0,166062.0
08,1.0,115747.0,1460619.0
08,3.0,4.0,31.0
09,0.0,28548.0,60.0
09,1.0,842390.0,8090.0
09,3.0,26.0,
10,0.0,36780.0,441.0
10,1.0,106481.0,695065.0
10,3.0,2.0,15.0
11,0.0,41675.0,184087.0
11,1.0,841050.0,1210062.0
11,3.0,19.0,31.0
12,0.0,4698.0,1553.0
12,1.0,113646.0,1327795.0
12,3.0,1.0,25.0
