month,parkingStatus,2020_parkingStatus,2021_parkingStatus
00,1.0,,85
01,0.0,41577.0,3774
01,1.0,63044.0,671829
02,0.0,673440.0,126208
02,1.0,735383.0,341192
03,0.0,9348.0,605299
03,1.0,49333.0,570438
04,0.0,6701.0,754273
04,1.0,931313.0,568261
05,0.0,315025.0,120384
05,1.0,414247.0,187724
06,0.0,584819.0,569495
06,1.0,683182.0,710844
07,0.0,456148.0,229675
07,1.0,435222.0,221388
08,0.0,14502.0,435518
08,1.0,101253.0,1191194
09,0.0,507941.0,1137
09,1.0,363023.0,7013
10,0.0,268.0,398905
10,1.0,142995.0,296800
11,0.0,519181.0,559089
11,1.0,364163.0,835091
12,0.0,3154.0,8713
12,1.0,116276.0,1323402
