month,powerPneumatic,2020_powerPneumatic,2021_powerPneumatic
00,0.0,,36
00,1.0,,43
01,0.0,88885.0,186095
01,1.0,17314.0,355380
01,3.0,,1
02,0.0,1408166.0,461445
02,1.0,657.0,5955
03,0.0,58677.0,1172533
03,1.0,3.0,3200
04,0.0,930619.0,1320720
04,1.0,7395.0,1814
05,0.0,729026.0,301107
05,1.0,246.0,7001
06,0.0,1267195.0,1172530
06,1.0,806.0,107806
06,3.0,,3
07,0.0,889557.0,450603
07,1.0,1813.0,460
08,0.0,114518.0,1523811
08,1.0,1237.0,102900
08,3.0,,1
09,0.0,870081.0,7565
09,1.0,883.0,585
10,0.0,121116.0,659047
10,1.0,22147.0,36474
11,0.0,872172.0,1390466
11,1.0,10572.0,3714
12,0.0,111142.0,1309614
12,1.0,7203.0,19758
12,3.0,,1
