month,powerTransmissionMode_8x8,2020_powerTransmissionMode_8x8,2021_powerTransmissionMode_8x8
00,0.0,,36.0
00,5.0,,43.0
01,0.0,4156.0,187711.0
01,1.0,15600.0,
01,2.0,56227.0,
01,3.0,1735.0,
01,4.0,13683.0,
01,5.0,14787.0,353760.0
02,0.0,1217694.0,459586.0
02,1.0,308.0,
02,2.0,185708.0,
02,5.0,5046.0,7814.0
03,0.0,58672.0,1175405.0
03,5.0,,319.0
04,0.0,937941.0,1322050.0
04,5.0,,479.0
05,0.0,686265.0,304970.0
05,1.0,5.0,
05,2.0,42645.0,
05,5.0,305.0,3135.0
06,0.0,1215109.0,1203868.0
06,1.0,100.0,45.0
06,2.0,50953.0,4101.0
06,5.0,1825.0,72313.0
07,0.0,753121.0,451005.0
07,1.0,85.0,
07,2.0,136347.0,8.0
07,5.0,1817.0,50.0
08,0.0,115751.0,1455751.0
08,1.0,,91.0
08,2.0,4.0,122225.0
08,5.0,,48643.0
09,0.0,842398.0,8150.0
09,1.0,10.0,
09,2.0,27769.0,
09,5.0,787.0,
10,0.0,105836.0,695513.0
10,1.0,5.0,
10,2.0,5.0,4.0
10,5.0,37417.0,
11,0.0,840446.0,1210352.0
11,1.0,70.0,265.0
11,2.0,36033.0,177346.0
11,5.0,6193.0,6217.0
12,0.0,113683.0,1327295.0
12,1.0,,55.0
12,5.0,4661.0,2023.0
