month,rearDoorOpen,2020_rearDoorOpen,2021_rearDoorOpen
00,0,,80
00,1,,5
01,0,55547.0,648430
01,1,50652.0,27173
02,0,1104803.0,416970
02,1,304020.0,50430
03,0,36190.0,904672
03,1,22491.0,271065
04,0,621052.0,1028156
04,1,316962.0,294378
05,0,654123.0,240224
05,1,75149.0,67884
06,0,1018902.0,874525
06,1,249099.0,405814
07,0,620627.0,280990
07,1,270743.0,170073
08,0,26183.0,637988
08,1,89572.0,988724
09,0,728508.0,7994
09,1,142456.0,156
10,0,100597.0,557927
10,1,42666.0,137778
11,0,721203.0,1298331
11,1,162141.0,95849
12,0,118689.0,1068002
12,1,906.0,264113
