month,rightInfantryRoomAirTank,2020_rightInfantryRoomAirTank,2021_rightInfantryRoomAirTank
00,0,,37
00,1,,48
01,0,88504.0,243585
01,1,17695.0,432018
02,0,1408108.0,464899
02,1,715.0,2501
03,0,58677.0,1172970
03,1,4.0,2767
04,0,930997.0,1320548
04,1,7017.0,1986
05,0,728866.0,300338
05,1,406.0,7770
06,0,1267185.0,1180650
06,1,816.0,99689
07,0,888453.0,450815
07,1,2917.0,248
08,0,114548.0,1534341
08,1,1207.0,92371
09,0,869916.0,7528
09,1,1048.0,622
10,0,126526.0,661234
10,1,16737.0,34471
11,0,880113.0,1390910
11,1,3231.0,3270
12,0,112143.0,1314406
12,1,7452.0,17709
